id	doc	frame	minority	linguistic_minority	religious_minority	social_class_minority	sexual_orientation_minority	ethnic_minority	national_minority	other_minority	disabled_minority	gender	age_numerical	income	citizenship	education	political_left_right	exp_housing_discrim	city_district	city_neighborhood	prof_situation	fear_forced_out	seen_landlord_pressure	changes_in_community	seen_renovations	neighborhood_connection	respect_rules	neighbhorhood_crime	env_pollution_impact	climate_concern	age	city	country	preframe_densifproj_acceptance	postframe_densifproj_acceptance	densifproj_on_rent	densifproj_on_social	imce_RentContr	imce_InclZon	imce_Partic	imce_forProf	imce_dens	imce_mixUse	imce_ClimNeutr	imce_RentContr_se	imce_InclZon_se	imce_Partic_se	imce_forProf_se	imce_dens_se	imce_mixUse_se	imce_ClimNeutr_se
R_27mc1IUohDnHLJc	Yo yo bro I don't know why 	other district	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Male	34.0	3.0	US Born	Bachelor's degree	5.0	Yes	Northwest Side	Irving Park	Employed (full-time)	1	1	-1	-1	0	0	0	9.0	1	2	Chicago	United States	-1	2	1	2	0.5	0.666666666666667	1.0	1.0	0.625	0.5	0.4	0.395284707521047	0.314970394174356	0.342326598440729	0.243975018237133	0.171163299220364	0.166666666666667	0.244948974278318
R_2t4hIY0ZIHl8qyx	Too many legalities	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	60.0	3.0	US Born	Bachelor's degree	2.0	No	North Side	Lakeview	Employed (part-time)	0	-1	-1	1	1	0	-1	6.0	1	5	Chicago	United States	0	1	0	0	0.666666666666667	0.666666666666667	0.75	1.0	0.857142857142857	1.0	0.75	0.192450089729875	0.192450089729875	0.176776695296637	0.149071198499986	0.142857142857143	0.263523138347365	0.176776695296637
R_1pyvscLvOeh2qGp	Generally, I didn't agree with the subsidized housing issue.	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	66.0	5.0	US Born	Bachelor's degree	2.0	No	Northwest Side	Dunning	Employed (full-time)	-1	-1	1	0	1	1	0	8.0	2	5	Chicago	United States	0	-2	2	1	0.6	1.0	0.5	0.6	0.428571428571429	0.333333333333333	1.0	0.163299316185545	0.141421356237309	0.385275875185561	0.244948974278318	0.174963553055941	0.29546842014264	0.267261241912424
R_wMfrir8KQUppFJv	Because some are great	other district	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	20.0	3.0	US Naturalization	Bachelor's degree	4.0	Yes	Northwest Side	Irving Park	Employed (full-time)	-2	1	1	2	1	1	1	5.0	2	1	Chicago	United States	2	0	-1	1	0.5	0.666666666666666	-2.35513868802566e-16	0.6	1.0	1.0	0.6	0.390867979985286	0.322030594359765	0.263523138347365	0.249443825784929	4.96506830649455e-17	0.353553390593274	0.249443825784929
R_2XbXCVxQoRtnk77	It's only logical to go by the decisions I made based on what I feel is healthy for the community.	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	35.0	8.0	US Born	Bachelor's degree	3.0	No	Northwest Side	Irving Park	Employed (full-time)	-2	-2	-2	0	2	2	2	3.0	2	3	Chicago	United States	2	3	0	0	1.0	1.0	7.0216669371534e-17	0.5	0.6	0.333333333333333	0.5	0.342326598440729	0.161374306091976	0.342326598440729	0.279508497187474	0.244948974278318	0.314970394174356	0.228217732293819
R_0OCvynke1ghnruF	some of them seem to me to be good and others not so good proposals	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	35.0	6.0	US Born	Doctoral degree	1.0	No	Far Southwest Side	Morgan Park	Employed (full-time)	1	1	1	2	2	2	2	8.0	2	3	Chicago	United States	2	3	2	2	1.0	0.666666666666667	-7.85046229341887e-17	0.5	0.6	7.85046229341887e-17	0.25	0.534522483824849	0.322030594359765	1.9626155733547202e-17	0.235702260395516	0.249443825784929	0.333333333333333	0.25
R_3foSCMfz6f6PdCW	I think the 10 percent is too high of a yearly increase	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	74.0	6.0	US Born	Secondary school certificate	6.0	No	Northwest Side	Irving Park	Not working (retired)	-1	-1	0	0	0	0	1	4.0	0	5	Chicago	United States	0	0	0	1	-1.40433338743068e-16	0.8	0.5	1.0	0.857142857142857	0.5	0.8	0.333333333333333	0.2	0.293150984988964	0.306186217847897	0.164957219768465	0.293150984988964	0.2
R_XsPaEV0UEgjAjNT	because I think it is too good 	other district	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	Male	44.0	9.0	US Born	Master's degree	6.0	Yes	North Side	North Center	Employed (full-time)	1	1	1	0	1	0	2	9.0	2	3	Chicago	United States	2	2	2	3	0.333333333333333	0.5	1.0	0.25	0.5	-7.85046229341887e-17	0.5	0.322030594359765	0.408248290463863	0.333333333333333	0.25	0.288675134594813	0.534522483824849	0.235702260395516
R_1I9FfvfciRYf7xL	I think there should be more affordable housing for seniors.	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	67.0	3.0	US Born	Apprenticeship	4.0	No	Northwest Side	Portage Park	Not working (retired)	-1	-2	0	1	1	-1	-1	7.0	2	5	Chicago	United States	2	0	0	0	0.625	-1.57009245868377e-16	-3.92523114670944e-16	0.4	0.666666666666666	1.0	0.4	0.18298126367785	0.487950036474267	0.487950036474267	0.2	0.22566773346211	0.353553390593274	0.2
R_2RVrt5a0u3Lus4q	I am of the notion of physical interaction but I also want to state that unregulated price increase of rent is mere fraud, give room for the most basic amenities	other district	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Male	34.0	4.0	US Born	Bachelor's degree	4.0	No	Northwest Side	Portage Park	Employed (full-time)	1	1	1	1	1	0	1	7.0	1	2	Chicago	United States	1	1	2	1	0.5	0.5	-2.80866677486136e-16	0.333333333333333	0.6	0.5	7.0216669371534e-17	0.395284707521047	0.395284707521048	0.52704627669473	0.314970394174356	0.244948974278318	0.279508497187474	0.342326598440729
R_8AJ9NrWHcsztZC1	Was the better choice 	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	24.0	4.0	US Born	Apprenticeship	6.0	Yes	Southwest Side	Chicago Lawn	Employed (part-time)	0	0	1	2	1	2	1	5.0	0	1	Chicago	United States	1	2	-1	1	0.6	0.666666666666667	0.4	1.40433338743068e-16	0.5	0.5	0.666666666666667	0.244948974278318	0.314970394174356	0.244948974278318	0.161374306091976	0.228217732293819	0.395284707521047	0.314970394174356
R_25BGRXIYoyO0vqY	I felt too much was one sided	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	59.0	8.0	US Born	Bachelor's degree	5.0	No	Central, Near North, and Near North Side	Loop	Employed (full-time)	0	1	-1	0	1	-1	-2	9.0	-2	5	Chicago	United States	0	-2	3	-2	0.0	1.17756934401283e-16	3.9252311467094404e-17	0.166666666666667	-3.9252311467094404e-17	-1.57009245868377e-16	0.4	0.258198889747161	0.333333333333333	0.487950036474267	0.192450089729875	0.204124145231932	0.487950036474267	0.2
R_2EaG4Slowa8u6vI	prefer national not international developers	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	77.0	5.0	US Born	Secondary school certificate	2.0	No	North Side	Lakeview	Not working (retired)	-2	-2	0	1	0	0	-2	6.0	2	5	Chicago	United States	0	0	1	-1	0.75	0.5	0.500000000000001	0.333333333333334	0.833333333333333	1.0	0.5	0.222439130250652	0.293150984988964	0.293150984988964	0.166666666666667	0.181620789314195	0.243975018237133	0.176776695296637
R_OD8bdkAQ2McDD3j	Was more in favor of projects with smaller overall density increases, but buttressed the business establishment in the neighborhood. 	other district	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	Male	54.0	6.0	US Born	Master's degree	5.0	Yes	North Side	Lakeview	Employed (full-time)	0	-1	1	1	1	-1	0	6.0	1	4	Chicago	United States	1	1	-1	1	1.0	1.0	0.666666666666667	0.75	0.833333333333333	0.8	0.875	0.188982236504614	0.14142135623731	0.166666666666667	0.153093108923949	0.131761569173682	0.141421356237309	0.116926793336686
R_VR9oI3korJ2RSx3	I like some proposal , because I think that's alright 	district	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Male	50.0	6.0	US Born	Bachelor's degree	6.0	No	West and Near West Side	West Town	Employed (full-time)	2	0	1	1	1	1	2	9.0	2	4	Chicago	United States	-1	2	2	2	0.5	0.5	1.0	0.6	0.6	0.5	0.5	0.408248290463863	0.288675134594813	0.333333333333333	0.249443825784929	0.249443825784929	0.188982236504614	0.408248290463863
R_1dBsP0wiodbtJHq	The increase of rent building place that would bring in more crimes	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	66.0	1.0	US Born	Secondary school certificate	7.0	Yes	South Side	Washington Park	Employed (part-time)	2	2	2	2	-1	2	-2	10.0	2	5	Chicago	United States	1	-3	-2	-1	1.0	1.0	-2.80866677486136e-16	-2.80866677486136e-16	0.8	-5.61733354972272e-16	0.6	0.342326598440729	0.267261241912424	0.440958551844098	0.440958551844098	0.223606797749979	0.233853586673371	0.223606797749979
R_10o9Vqr8SPASx6A	Rent Increase or for profit investors	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	28.0	10.0	US Born	Bachelor's degree	1.0	Yes	West and Near West Side	Humboldt Park	Employed (full-time)	-1	-1	1	0	1	1	0	6.0	2	2	Chicago	United States	1	0	3	1	0.75	0.5	0.333333333333333	0.625	0.75	0.2	0.5	0.255155181539914	0.395284707521047	0.314970394174356	0.171163299220364	0.255155181539914	0.2	0.279508497187474
R_WkRYtnoo6Ohej9n	I want the lowest population density, plus I am opposed to rent control. I believe in the free market	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	52.0	6.0	US Born	Bachelor's degree	6.0	No	Northwest Side	Irving Park	Employed (full-time)	-1	-1	1	1	1	0	-1	6.0	0	4	Chicago	United States	-3	-3	-2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_7PoGb9y3ogHSA5H	I think the neighborhood should be involved in deciding building things 	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	38.0	7.0	US Born	Higher technical examination	3.0	No	Far North Side	O’Hare	Employed (full-time)	-2	-2	-2	-2	1	-2	1	3.0	1	3	Chicago	United States	-1	2	-1	-1	0.2	0.2	0.333333333333333	1.40433338743068e-16	0.222222222222222	0.25	0.166666666666667	0.133333333333333	0.2	0.251976315339485	0.243975018237133	0.146986183948033	0.222439130250652	0.181620789314195
R_2sceuzLAPUduXvN	some communities don't have enough job security	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	53.0	2.0	US Born	No school certificate	1.0	No	South Side	Bridgeport	Homemaker	-2	0	1	1	2	2	-2	5.0	2	4	Chicago	United States	3	2	-2	0	0.5	1.0	1.0	1.0	0.875	0.666666666666667	0.714285714285714	0.293150984988964	0.204124145231932	0.306186217847897	0.243975018237133	0.146575492494482	0.251976315339485	0.159719141249985
R_bIUP00WM6hk4VkR	It was a good proposal and a good quality product and services	other district	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Male	40.0	2.0	US Born	Bachelor's degree	7.0	Yes	North Side	Lakeview	Employed (full-time)	2	1	1	1	1	1	2	10.0	2	3	Chicago	United States	3	2	2	2	1.0	3.5108334685767e-16	7.0216669371534e-17	0.75	0.444444444444444	0.5	0.571428571428571	0.342326598440729	0.52704627669473	0.243975018237133	0.255155181539914	0.175682092231577	0.395284707521047	0.206196524710581
R_Zk0nk1SaA8I8xXz	My decision was on the proposal that sound the best to me.	other district	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Female	57.0	2.0	US Born	Secondary school certificate	0.0	No	Northwest Side	Portage Park	Homemaker	-2	1	1	-1	0	-2	-2	6.0	1	5	Chicago	United States	1	1	-1	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_1LzKpSE1Jg4u1s0	I'm for anything that improves the city and helps people out	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	40.0	8.0	US Born	Bachelor's degree	4.0	No	Far North Side	Rogers Park	Employed (full-time)	0	0	0	0	0	0	0	6.0	0	3	Chicago	United States	2	1	1	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_3NVTOeYdXjX4c3U	Because the proposal was less for 1 than 2 I chose proposal number 1	other district	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Female	19.0	1.0	US Born	Higher education entrance qualification	5.0	Yes	Central, Near North, and Near North Side	Near South Side	Employed (full-time)	2	-1	1	1	0	2	2	4.0	1	1	Chicago	United States	0	-2	2	-1	1.40433338743068e-16	0.5	-2.80866677486136e-16	0.6	0.714285714285714	1.0	0.714285714285714	0.188982236504614	0.270030862433661	0.5	0.244948974278318	0.193429485824666	0.52704627669473	0.193429485824666
R_2EdaXuwA2ExyhY4	I want to be involved in my community 	neighborhood	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Male	46.0	6.0	US Born	Bachelor's degree	4.0	Yes	South Side	Washington Park	Employed (full-time)	-1	-1	1	1	1	-1	-1	1.0	-1	4	Chicago	United States	0	-2	-2	1	0.333333333333333	0.5	0.5	0.5	0.666666666666667	1.0	-2.80866677486136e-16	0.314970394174356	0.166666666666667	0.166666666666667	0.228217732293819	0.208333333333333	0.52704627669473	0.342326598440729
R_1mF5RNo50gQcEpF	I don't like having any international investors so I would almost always vote against that. I also don't care for 50% or more population density	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	40.0	5.0	US Born	Bachelor's degree	4.0	Do not know	Far North Side	West Ridge	Employed (full-time)	-1	-1	0	-2	0	1	0	4.0	-1	3	Chicago	United States	0	-1	1	1	1.40433338743068e-16	-1.05325004057301e-16	0.2	0.5	0.142857142857143	0.0	0.4	0.306186217847897	0.173205080756888	0.133333333333333	0.293150984988964	0.164957219768465	0.243975018237133	0.173205080756888
R_1GVx0KkLqz2tFFE	Well I disagree with some people I don't side with them.	district	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	26.0	1.0	US Born	Secondary school certificate	1.0	No	Southwest Side	Chicago Lawn	Not employed (unemployed)	1	0	2	1	-1	1	-1	5.0	2	2	Chicago	United States	0	-1	-3	-1	1.0	0.5	0.666666666666667	0.571428571428572	0.4	0.666666666666667	0.5	0.342326598440729	0.197642353760524	0.314970394174356	0.206196524710581	0.244948974278318	0.314970394174356	0.279508497187474
R_3QJIjbZoJhSC82W	I am torn on rent control.  I haven't fully decided if it is good or not.	other district	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	Male	51.0	6.0	US Born	Bachelor's degree	0.0	Do not know	Far North Side	Rogers Park	Employed (full-time)	-2	-2	-1	-1	-2	2	-2	5.0	0	4	Chicago	United States	3	3	-1	2	1.0	1.0	1.0	1.0	1.0	1.0	0.833333333333333	0.188982236504614	0.233853586673371	0.233853586673371	0.233853586673371	0.161374306091976	0.333333333333333	0.131761569173682
R_Z8YWig97Lgzjnhv	Because its something I can benefit from 	neighborhood	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	29.0	2.0	US Born	Secondary school certificate	4.0	No	South Side	South Shore	Employed (full-time)	-2	-2	1	1	0	0	-2	8.0	1	2	Chicago	United States	1	0	0	1	0.5	0.666666666666667	1.0	1.0	0.6	1.0	0.833333333333333	0.293150984988964	0.251976315339485	0.144337567297406	0.173205080756888	0.173205080756888	0.440958551844099	0.181620789314195
R_3QL4K3CMPOdYfUA	They tend to push out the lower and middle income in favor of upper or higher income	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	58.0	1.0	US Born	Higher education entrance qualification	4.0	No	Far South Side	Riverdale	Employed (part-time)	-2	-1	-1	-2	-2	1	-2	10.0	1	5	Chicago	United States	0	0	3	-3	1.0	0.5	0.7	0.714285714285714	0.666666666666667	1.0	0.4	0.21650635094611	0.239356776939085	0.152752523165195	0.193429485824666	0.295468420142639	0.342326598440729	0.173205080756888
R_3oTwWysQnNZ3NC8	It's very explanative and descriptive	neighborhood	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	Male	40.0	10.0	US Born	Doctoral degree	0.0	Yes	Northwest Side	Irving Park	Employed (full-time)	2	2	1	1	2	1	1	3.0	2	3	Chicago	United States	3	3	3	3	-1.40433338743068e-16	0.666666666666667	0.5	0.5	0.428571428571429	0.4	0.4	0.5	0.314970394174356	0.385275875185561	0.21650635094611	0.174963553055941	0.223606797749979	0.223606797749979
R_12FR5M7KFUpIzvA	I feel the there is positivity and negativity in all	other district	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	49.0	5.0	US Born	Bachelor's degree	0.0	No	Northwest Side	Montclare	Employed (full-time)	0	-1	0	-1	1	1	0	5.0	1	4	Chicago	United States	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_3RygYbGokkCwhOo	Increasing the rent is not something I'm in favor of	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	40.0	9.0	US Born	Secondary school certificate	3.0	No	Central, Near North, and Near North Side	Near North Side	Employed (full-time)	1	0	0	1	0	0	1	5.0	1	3	Chicago	United States	0	0	0	0	0.5	0.6	1.0	0.571428571428571	0.625	0.333333333333333	0.5	0.385275875185561	0.244948974278318	0.267261241912424	0.206196524710581	0.192637937592781	0.295468420142639	0.270030862433661
R_1pRKr6iyMHYJCTz	Mostly along lines of affordability	other district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	38.0	7.0	US Born	Bachelor's degree	4.0	Yes	North Side	Lakeview	Employed (full-time)	-2	0	1	-1	1	-1	1	4.0	0	3	Chicago	United States	0	-2	-1	1	1.0	0.5	1.0	0.8	0.5	1.0	0.5	0.5	0.353553390593274	0.5	0.223606797749979	0.176776695296637	0.342326598440729	0.239356776939085
R_1QtkjalS49lS5sd	Very good proposal.	neighborhood	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	39.0	2.0	US Born	Bachelor's degree	0.0	Yes	West and Near West Side	West Town	Employed (full-time)	1	1	0	1	2	1	2	10.0	2	3	Chicago	United States	-1	2	1	2	0.4	0.666666666666667	0.5	0.333333333333333	0.666666666666667	0.5	0.5	0.244948974278318	0.314970394174356	0.166666666666667	0.208333333333333	0.208333333333333	0.395284707521047	0.228217732293819
R_3JaxHktvgL70NkU	Rent caps for a specified time are ineffective. Time after time the owners have drastically raised rents as soon as the initial term expires.	district	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	63.0	1.0	US Born	Higher education entrance qualification	1.0	No	North Side	Lakeview	Not working (disability/illness)	0	1	0	0	-1	-1	0	7.0	2	5	Chicago	United States	0	-1	0	-1	0.3	0.25	0.5	0.2	0.375	7.0216669371534e-17	1.05325004057301e-16	0.152752523165195	0.255155181539914	0.353553390593274	0.223606797749979	0.171163299220364	0.342326598440729	0.173205080756888
R_RyRGiDxwvIBNvRn	I don't know enough 	neighborhood	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Male	34.0	2.0	US Naturalization	Higher education entrance qualification	6.0	Yes	North Side	Avondale	Not employed (unemployed)	1	1	0	1	0	-1	1	5.0	2	2	Chicago	United States	3	1	0	-1	1.0	1.0	1.0	0.666666666666667	0.8	1.0	0.75	0.342326598440729	0.267261241912424	0.5	0.208333333333333	0.223606797749979	0.342326598440729	0.255155181539914
R_2VPDHNSumq6yMSK	Residents have a say and housing is affordable	neighborhood	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Female	18.0	3.0	US Born	Secondary school certificate	1.0	Yes	Northwest Side	Dunning	Employed (part-time)	-1	-1	1	1	1	-1	0	9.0	2	1	Chicago	United States	2	2	2	-1	1.0	0.5	-2.80866677486136e-16	0.833333333333334	0.666666666666667	1.0	0.666666666666667	0.342326598440729	0.353553390593274	0.440958551844098	0.195433989992643	0.208333333333333	0.267261241912425	0.29546842014264
R_12aIiP3env4CeyS	I don't want crime to go up 	neighborhood	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Male	44.0	10.0	US Born	Master's degree	1.0	No	Far North Side	West Ridge	Employed (full-time)	-2	-2	2	2	2	-2	-2	5.0	1	3	Chicago	United States	3	-3	3	3	0.1	-1.57987506085952e-16	-1.7554167342883499e-16	-1.05325004057301e-16	0.142857142857143	-3.33529179514787e-16	-1.05325004057301e-16	0.1	0.233853586673371	0.233853586673371	0.125	0.123717914826348	0.333333333333334	0.125
R_2qyIMWMysuvUNBK	None can be implemented fairly	neighborhood	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	Female	66.0	2.0	US Born	Bachelor's degree	3.0	Yes	South Side	South Shore	Not working (other reason)	-2	-1	1	-1	-1	1	-2	6.0	1	5	Chicago	United States	0	0	-1	0	0.5	0.75	0.666666666666667	0.571428571428572	0.5	1.0	0.5	0.270030862433661	0.265165042944955	0.314970394174356	0.206196524710581	0.21650635094611	0.267261241912424	0.270030862433661
