	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords	Text
110	110	5.0	0.1301	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I don't trust for profit developers.  They are trying to drive middle class and poor people out of the city of Chicago.  
111	111	4.0	0.1048	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	It doesn't matter what residents vote for or against, the city will do what they want, where they want and when they want.
112	112	9.0	0.1035	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I'm in favor of increasing the rent by 5% every year. The minimum wage will go up every year so that will create Inflation and the prices on everything will go up including rent 
113	113	2.0	0.1046	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	that the rent a decent cost
114	114	4.0	0.1046	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Doesn't benefit the people in the community 
115	115	7.0	0.1421	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I did not want a high increased percent of capacity. I wanted a percent of affordable housing.
116	116	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	because I like it
117	117	2.0	0.1069	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Becoming familiar with the generic proposal structure can help grant seekers better
118	118	2.0	0.1109	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	We need to support equitable housing opportunities and not just gentrify every single square inch of the city 
119	119	3.0	0.1259	make, thing, development, idea, great, time, favour, densification, infrastructure, year	They just made sense
120	120	7.0	0.1397	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Don't want population density to increase. Don't want more crime. 
121	121	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It just seems like they want the best for the community
122	122	0.0	0.1347	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I relied on my experience and best wishes to develop the neighborhood and make it better
123	123	0.0	0.1212	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	as long as the neighborhood is safe and area
124	124	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	The proposal suits me
125	125	3.0	0.1046	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Government should stay out. They ruin everything.
126	126	9.0	0.115	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	In any area there should be rent control especially for low income. 
127	127	7.0	0.1149	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I'm all for making rent affordable, but also increasing the building density 
128	128	4.0	0.1464	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I would be against any proposal that would increase the residents by 100%. We do not get enough police protection, don't have large grocery stores, don't have enough social activities for youths based on the current residents. Additional residents will stretch the already limited services in the community. 
129	129	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I don't have nothing
130	130	6.0	0.119	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I favored the inclusion of small businesses like cafes, restaurants, etc.
131	131	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	The overall aesthetic and planning just wasn't for me 
132	132	10.0	0.1294	people, live, city, lot, family, place, price, house, bad, property	I care about people being able to afford housing
133	133	9.0	0.1338	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	My ideal proposal would have some form of rent control, some percentage of housing dedicated to low income, retail mixed with apartments, either community involvement or at least transparency in the forms of info meetings and zero emissions.
134	134	3.0	0.121	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I do not believe in going back and forth with convictions. I would like to stick with one and make it work
135	135	3.0	0.1109	make, thing, development, idea, great, time, favour, densification, infrastructure, year	It is a very difficult time to be increasing rent for people just to gentrify and make more money for the government
136	136	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I really don't have anything against certain proposals but that's just how I feel about it
137	137	5.0	0.1372	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Depends on investors, liked mixed use, limit occupancy 
138	138	10.0	0.1235	people, live, city, lot, family, place, price, house, bad, property	People have to live somewhere that is affordable
139	139	4.0	0.1235	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	In general I chose the options that everyone prefers
140	140	7.0	0.1214	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	There are some proposals that would increase the population size 
141	141	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	they seem really good and benefit the area
142	142	9.0	0.117	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	mixed use is appealing,  rent control is also appealing
143	143	0.0	0.113	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I think I chose most of my answers because we need a choice too as the community 
144	144	8.0	0.1328	area, high, environment, cost, pay, life, problem, space, quality, crime	Too high density building will limit the common area.
145	145	10.0	0.1313	people, live, city, lot, family, place, price, house, bad, property	I just want to be sure rent doesn't hike up extremely high and people possibly loose their homes they've lived in for years
146	146	7.0	0.1087	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I like more density 
147	147	7.0	0.1486	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I am not looking forward to population density as I believe it increases the possibility of crime.  But, the two proposals can both be acceptable depending on the implementation.
148	148	0.0	0.1235	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because I didn't feel they were best in certain situations
149	149	10.0	0.1066	people, live, city, lot, family, place, price, house, bad, property	I don't like apartments so I wouldn't be able to live there
150	150	5.0	0.1347	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I prefer businesses be added in addition to apartments and that residents have some say. 
151	151	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because I think it was better 
152	152	1.0	0.1569	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Restaurants mixed with apartment buildings are asking for roaches and rats. I would never combine the two in one building
153	153	5.0	0.1494	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I'm not of fan of large housing units. I do however feel like the south side could use more entertainment stores small shops in neighborhoods so that's a plus to implement in housing projects on that side of town. I'm in favor of rent control I think that rent in Chicago is getting out of hand even in areas like mine, North Lawndale. Also I think it's important to engage the community unless developers aren't aiming to develop for current residents. 
154	154	1.0	0.113	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I like rent cap. I'm always concerned how much it will go up annually 
155	155	3.0	0.1237	make, thing, development, idea, great, time, favour, densification, infrastructure, year	They seemed to make the most sense 
156	156	2.0	0.119	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I think bringing in more housing for people with it being affordable is good.
157	157	9.0	0.1109	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I like the idea of rent control and mixed use buildings. I do not support 100% density 
158	158	9.0	0.1214	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent control was most important to me.
159	159	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Some proposals are not a good deal
160	160	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It is just now I felt 
161	161	0.0	0.1403	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because I feel there's better choices and programs 
162	162	5.0	0.1109	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I do not like government environment and leaned against that
163	163	10.0	0.1383	people, live, city, lot, family, place, price, house, bad, property	I think rent control is terrible for landlords and would make it hard for them to keep their properties in good condition. I also think people in the neighborhood pay high taxes and don't want affordable housing for people to get something that others are paying a lot for
164	164	10.0	0.1217	people, live, city, lot, family, place, price, house, bad, property	Rent control is very important for residents that need a place to live and also need to have a sense of safety and close to areas for shopping for essentials. 
165	165	9.0	0.1222	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I do prefer proposal with rent control, because the current rent is expensive. I also prefer proposals with increased density. 
166	166	8.0	0.119	area, high, environment, cost, pay, life, problem, space, quality, crime	Getting to increase area with little harm on environment is good
167	167	1.0	0.1347	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Rent control is important. Mixed use of building is also important. 
168	168	2.0	0.1251	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I personally feel like everybody should have affordable housing where they work.
169	169	5.0	0.1171	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Not a fan of for-profit, climate concerns
170	170	0.0	0.1279	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I support rent control and affordable housing in order to maintain the diversity of our neighborhoods
171	171	9.0	0.1259	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent control is an absolute must for Chicago but those proposals still were not right 
172	172	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	more apartments and business and rent control
173	173	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because it seemed right for me
174	174	5.0	0.1066	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Too many restrictions. Too many people
175	175	1.0	0.119	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I am in favor of more affordable housing and multi uses of buildings
176	176	7.0	0.1288	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Rents are greatly increasing here with slight increases in crimes. 
177	177	3.0	0.1239	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Dislike big for profit companies, put lots of importance in the voice of the people and the environment
178	178	4.0	0.115	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Resident involvement and neutral environmental specs
179	179	2.0	0.1	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Just sound better
180	180	3.0	0.1045	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I'm open minded to all of it 
181	181	1.0	0.1069	climate, rent, important, cap, building, change, build, issue, neutral, mixed	like rent caps and diversity dislike developers
182	182	9.0	0.1288	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent control should be a thing here to make life more sustainable 
183	183	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I don't really know
184	184	0.0	0.099	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It's good to have affordable rent and less crime and business for the community
185	185	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	just want them to do the right thing
186	186	5.0	0.1301	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I am generally in favor of local, private investing and increasing population density.
187	187	7.0	0.1087	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I don't have any comments
188	188	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	This is right and Must having do
189	189	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because I feel as though me and my neighbors would not benefit 
190	190	6.0	0.1028	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I preferred proposals that focused on other social determinants of health
191	191	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	It was well written
192	192	3.0	0.1648	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I don't like to see pay increase each year. Minimum wage raises but I don't have a job where I get minimum wage. I don't get an increase in pay. That means eventually minimum wage will be what I make. What is the purpose of going to school?
193	193	8.0	0.1328	area, high, environment, cost, pay, life, problem, space, quality, crime	To me one of the biggest indicators is how much it is going to increase the population. We already struggle with parking.
194	194	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	on how much rentals in the area
195	195	5.0	0.1179	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Rent control 0%, minimum of 10-20% low income housing, people involved, no government investors, environmentally friendly, mixed use to create jobs. 
196	196	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	I'm against it rent is too high already in Chicago
197	197	1.0	0.123	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I favored ones with mixed use and factored in climate change.
198	198	6.0	0.1068	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I think that increasing rent in general is unnecessary 
199	199	1.0	0.1332	climate, rent, important, cap, building, change, build, issue, neutral, mixed	When it is more of an increase with no cap rent continues to go up and eventually you can't afford the apartments anymore. Residents should always have a say in what is being built in their neighborhoods. 
200	200	9.0	0.1377	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Prefer some form of rent control
201	201	4.0	0.1214	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I like the resident's involvement in the decisions
202	202	0.0	0.1173	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	This would bring down the neighborhood.
203	203	4.0	0.1353	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I generally decided on the option that had a rent cap, residence get some control, no entertainment businesses included, no foreign investors, and didn't increase population as much
204	204	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because I didn't want too
205	205	7.0	0.1189	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I'd like to see more small businesses in the mix plus have a limit (to an extent) on population density
206	206	9.0	0.1212	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	rent control, climate, non-profit 
207	207	7.0	0.1356	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	The rent increases & the population increase
208	208	4.0	0.1192	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	It varied.  I can't remember the comparisons specifically
209	209	2.0	0.1259	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Affordable housing 
210	210	1.0	0.1008	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Pro rent caps but not for doubling occupancy
211	211	5.0	0.1066	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	the increases every year is too much
212	212	6.0	0.1409	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I voted for projects that either had rent control, had some type of involvement and/or vote on development decision making, and minimum increase in density of population. 
213	213	1.0	0.115	climate, rent, important, cap, building, change, build, issue, neutral, mixed	The ones I voted against would bring in gangbangers and troublemakers
